"Yes","Ja"
"WARNING! ID is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! ID ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"SKU","SKU"
"WARNING! SKU is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! SKU ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"Short description (product name)","Kurzbeschreibung (Produktname)"
"WARNING! SHORT DESCRIPTION is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! KURZE BESCHREIBUNG ist bereits von Ihren Produkten erhalten, ändern Sie es nur, wenn Sie sicher sind, dass das Modul eine falsche Daten sammelt."
"Link","Product link"
"WARNING! PRODUCT LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! PRODUCT LINK ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"Image link","Product image link"
"WARNING! PRODUCT IMAGE LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! PRODUCT IMAGE LINK ist bereits von Ihren Produkten erhalten, ändern Sie es nur, wenn Sie sicher sind, dass das Modul eine falsche Daten sammelt."
"Brand","Marke"
"Category","Kategorie"
"mpn","mpn"
"gtin_upc","gtin_upc"
"gtin_ean","gtin_ean"
"gtin_jan","gtin_jan"
"gtin_isbn","gtin_isbn"
"Extra Info 1","Zusätzliche Informationen 1"
"Extra Info 2","Zusätzliche Informationen 2"
"Extra Info 3","Zusätzliche Informationen 3"
"Extra Info 4","Zusätzliche Informationen 4"
"Extra Info 5","Zusätzliche Informationen 5"
"Extra Info 6","Zusätzliche Informationen 6"
"Extra Info 7","Zusätzliche Informationen 7"
"Extra Info 8","Zusätzliche Informationen 8"
"Extra Info 9","Zusätzliche Informationen 9"
"Extra Info 10","Zusätzliche Informationen 10"
"No rich-snippets","Keine rich-snippets"
"Rich-snippets using schema.org format","Rich-Snippets mit schema.org format"
"Store views","Store views"
"Store views title","Store views titel"
"Before all please select the store to export orders.","Bevor alle bitte wählen Sie den Laden, um Aufträge zu exportieren."
"Order status","Bestellstatus"
"Keep all the options unchecked to get orders from all status.","Halten Sie alle Optionen unkontrolliert, um Aufträge aus allen Status zu bekommen."
"From","Von"
"Leave it empty to get orders from the beginning of time.","Lassen Sie es leer, um Aufträge vom Anfang der Zeit zu bekommen."
"To","Bis"
"Leave it empty to use the current date.","Lassen Sie es leer, um das aktuelle Datum zu verwenden."
"Request product reviews?","Produktbewertungen anfordern"
"It add product information to orders.","Es fügt Produktinformationen zu Aufträgen hinzu."
"Export File","Datei exportieren"
